model,label,precision,recall,f1-score,support
mlp,discarded,0.7011236574610958,0.8396610715125902,0.7641641696160192,484586.0
mlp,confirmed,0.7841524361955401,0.6193940112086861,0.6921029564108694,455718.0
mlp,macro avg,0.742638046828318,0.7295275413606381,0.7281335630134442,940304.0
mlp,weighted avg,0.7413635256178871,0.7329087188824039,0.7292397282019398,940304.0
xgboost,discarded,0.7081569188415028,0.8397601251377464,0.7683640994800925,484586.0
xgboost,confirmed,0.7876460019198005,0.6319982971925621,0.7012896572966747,455718.0
xgboost,macro avg,0.7479014603806516,0.7358792111651542,0.7348268783883836,940304.0
xgboost,weighted avg,0.7466812747543519,0.7390684289336215,0.7358564948724945,940304.0
lightgbm,discarded,0.7024374401750307,0.8480517390102067,0.7684069011037503,484586.0
lightgbm,confirmed,0.7927400468384075,0.6179962169587333,0.6945456249337223,455718.0
lightgbm,macro avg,0.7475887435067191,0.73302397798447,0.7314762630187364,940304.0
lightgbm,weighted avg,0.7462025664569786,0.7365554118668005,0.732610059812367,940304.0
ensemble,discarded,0.8273539037483518,0.5801137465795545,0.6820183366045499,484586.0
ensemble,confirmed,0.6611798284176591,0.8712778516538736,0.7518267524800094,455718.0
ensemble,macro avg,0.7442668660830054,0.7256957991167141,0.7169225445422797,940304.0
ensemble,weighted avg,0.746817697094384,0.7212263268049481,0.7158509605920398,940304.0
