model,recall,precision,threshold
MLP,1.0,0.5857402839154913,2.954674891952891e-05
MLP,0.999993540614998,0.5863177070314571,0.00029364763759076595
MLP,0.9999838515374951,0.5869021690711644,0.0004903065273538232
MLP,0.9999483249199844,0.5874648264137268,0.0007236123783513904
MLP,0.9999127983024736,0.5880274868662465,0.0009712522733025253
MLP,0.9998708122999609,0.5885852258144244,0.0012013808591291308
MLP,0.9998159075274443,0.5891353372727013,0.001439301180653274
MLP,0.9997674621399296,0.5896903485127013,0.001659498317167163
MLP,0.999709327674912,0.5902441163795569,0.001896820729598403
MLP,0.9996511932098945,0.5907978621874403,0.002126736333593726
MLP,0.9995801399748729,0.5913428101952692,0.002356308978050947
MLP,0.9994961679698476,0.5918811919060551,0.002567792311310768
MLP,0.9994025068873192,0.5924205730039152,0.0027833962813019753
MLP,0.999308845804791,0.5929542214113788,0.00300205429084599
MLP,0.9992184144147636,0.5934931276916141,0.0032358586322516203
MLP,0.9991215236397343,0.5940292718146452,0.0034476500004529953
MLP,0.9989826468621923,0.5945415019231028,0.0036568082869052887
MLP,0.998882526394662,0.5950778478138733,0.0038694883696734905
MLP,0.9987597980796249,0.5956052295033974,0.004067119676619768
MLP,0.9986435291495896,0.5961352340336928,0.004277392290532589
MLP,0.9984981929870457,0.5966512403456834,0.0044654496014118195
MLP,0.9983657755945057,0.597177172420055,0.0046668387949466705
MLP,0.9982107503544587,0.5976860124227447,0.004863436799496412
MLP,0.998026657881903,0.5981807728714869,0.005079902242869139
MLP,0.997891010796862,0.5987021215990761,0.005290219094604254
MLP,0.9977424449418171,0.5992214125136505,0.005491302348673344
MLP,0.9975486633917585,0.5997145769622834,0.005680636037141085
MLP,0.9973742599967057,0.6002262408259734,0.0058749946765601635
MLP,0.9971675596766432,0.600710151271949,0.006067012436687946
MLP,0.9969447108940758,0.6011853057917554,0.006262761075049639
MLP,0.9967089433415045,0.6016559732205696,0.006455068476498127
MLP,0.9965345399464517,0.6021646812696133,0.006644485983997583
MLP,0.9963116911638843,0.602649834629533,0.006825056858360767
MLP,0.9961049908438218,0.6031386889862328,0.007008599117398262
MLP,0.9958369263662407,0.6035913467844076,0.007202770560979843
MLP,0.9955720915811606,0.6040480720806871,0.007401066366583109
MLP,0.9952717301785697,0.604485341137793,0.007591368164867163
MLP,0.9950101250859905,0.6049482592730772,0.007790496107190847
MLP,0.9947549793784134,0.6054208223421695,0.007994136773049831
MLP,0.9944061725883079,0.6058289602358029,0.008190380409359932
MLP,0.9941348784182258,0.6062852077998818,0.008385967463254929
MLP,0.9938183685531301,0.6067171815756629,0.008571980521082878
MLP,0.9935761416155567,0.6071954430439709,0.008766966871917248
MLP,0.9933048474454748,0.6076581115523679,0.008956690318882465
MLP,0.9930012563503828,0.608103163536753,0.00915466621518135
MLP,0.9927170434102969,0.6085562005527794,0.009340346790850163
MLP,0.9923843850826963,0.6089840653242429,0.009528671391308308
MLP,0.9920517267550957,0.6094128197192265,0.009714639745652676
