model,split,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,tn,fp,fn,tp,selected
mlp,validation,0.01,0.5999080849223227,0.5054727427257895,0.5981516461830461,0.9998827253124173,0.011062760139161689,0.748521444599367,0.9954553100481803,5959,532695,93,792917,False
mlp,validation,0.02,0.6073671737014742,0.5148209713090447,0.6027346729854072,0.9993404875096152,0.030301455108474085,0.7519461967740267,0.9873504127167213,16322,522332,523,792487,False
mlp,validation,0.03,0.617884090881784,0.5280782068139005,0.6093692026547896,0.9982509678314271,0.057905445796373925,0.7567750237082811,0.9755358709103797,31191,507463,1387,791623,False
mlp,validation,0.04,0.6294470677287964,0.5427663294068601,0.6169203939942265,0.9965775967516173,0.08895506206210295,0.7620821930489421,0.9619798988333393,47916,490738,2714,790296,False
mlp,validation,0.05,0.6407667399584279,0.5572180121579327,0.6245698304027163,0.9946318457522604,0.11980417856360484,0.7673127472172554,0.948342825217172,64533,474121,4257,788753,False
mlp,validation,0.06,0.6514661356017735,0.5709955631679564,0.6320890211242829,0.9922939181094816,0.14969720822643107,0.7722539756065965,0.9348589433971332,80635,458019,6111,786899,False
mlp,validation,0.07,0.6609820495260066,0.5833548680772674,0.6390414561347231,0.9897668377447951,0.17694289840973984,0.7766439348362991,0.9223332612430764,95311,443343,8115,784895,False
mlp,validation,0.08,0.6696644198536568,0.5947359298267975,0.6456358810147173,0.9870190792045498,0.20245278044904522,0.7806363846712359,0.9103782936236168,109052,429602,10294,782716,False
mlp,validation,0.09,0.6774208809429405,0.6050230862868139,0.6517772204084054,0.9840569475794757,0.22598922499415208,0.7841698315983361,0.899093915582309,121730,416924,12643,780367,False
mlp,validation,0.1,0.684569831428949,0.6145795425498075,0.6576427992361386,0.9810090667204701,0.24815001837914505,0.7874199054934166,0.8883149202801908,133667,404987,15060,777950,False
mlp,validation,0.11,0.6911548258419541,0.6234540750956372,0.6632404860626463,0.977896873936016,0.2690112762552585,0.7904040378301963,0.8780232851530115,144904,393750,17528,775482,False
mlp,validation,0.12,0.6973373163200327,0.6318367280704431,0.6686663350706084,0.9747607218067867,0.2889127343340994,0.7932079208428786,0.868105618234029,155624,383030,20015,772995,False
mlp,validation,0.13,0.7029190546564299,0.6394982259273738,0.6737678338117001,0.971533776371042,0.3074626754837057,0.7957060321696435,0.8586805680712252,165616,373038,22574,770436,False
mlp,validation,0.14,0.7080644967499309,0.6466222029315766,0.6786358189010616,0.9682992648264208,0.3249451410367323,0.7979944941600476,0.8496828028691922,175033,363621,25139,767871,False
mlp,validation,0.15,0.7127586237969938,0.6532216537311418,0.6832778664275949,0.964923519249442,0.3415197882128416,0.8000368028179249,0.8409681421139267,183961,354693,27816,765194,False
mlp,validation,0.16,0.7170645147724951,0.6593352500205474,0.6876895563738289,0.9615729940353842,0.35709750600571055,0.8018901605753138,0.8326717550373067,192352,346302,30473,762537,False
mlp,validation,0.17,0.721115837027959,0.6651859781891285,0.6920372168609068,0.9580030516639134,0.37236890471434353,0.8035849527605363,0.8243686094990929,200578,338076,33304,759706,False
mlp,validation,0.18,0.724784179793101,0.6705662814423796,0.6961502554692494,0.9544204991109823,0.38671206377377687,0.8050791793535348,0.8164334246476589,208304,330350,36145,756865,False
mlp,validation,0.19,0.7283008326424684,0.6757921283804476,0.7002539410084078,0.9506979735438393,0.4008862832170558,0.8064801849341958,0.8084832209926829,215939,322715,39097,753913,False
mlp,validation,0.2,0.7315058453183385,0.680669078994391,0.7042117327510852,0.9468216037628782,0.41451655422590383,0.8076916043377284,0.8006614281079912,223281,315373,42171,750839,False
mlp,validation,0.21,0.7345644246596739,0.685365916068469,0.7081180130399579,0.9429414509274788,0.4277903812094591,0.8088307431875154,0.7929815629167718,230431,308223,45248,747762,False
mlp,validation,0.22,0.7373616768193778,0.6897650328436004,0.7118982423398755,0.9389541115496652,0.4405759541375354,0.8098117073584542,0.7854353650770765,237318,301336,48410,744600,False
mlp,validation,0.23,0.7398915942760336,0.6938595988637437,0.7155421115775108,0.9348570635931451,0.4528621341343423,0.8106276437485751,0.7780258383496137,243936,294718,51659,741351,False
mlp,validation,0.24,0.7424838397673887,0.6980321019664992,0.7193155139833527,0.9307562325821869,0.4653079713508115,0.8114888328056982,0.7705494779463888,250640,288014,54911,738099,False
mlp,validation,0.25,0.7447772110682574,0.701879229814147,0.7229446430486717,0.9264687708856131,0.47728968874268085,0.8121501003996642,0.7631497134412284,257094,281560,58311,734699,False
mlp,validation,0.26,0.7468805945043194,0.7055096745956938,0.7264896635589785,0.9221043870821302,0.4889149621092575,0.8126916455594911,0.7558483220992683,263356,275298,61772,731238,False
mlp,validation,0.27,0.7487812240925639,0.7089401088699063,0.7299845597109786,0.9175256301938185,0.5003545875459943,0.8130809111648367,0.7484943649449111,269518,269136,65403,727607,False
mlp,validation,0.28,0.7507118912878924,0.7124288116009954,0.7336121560488382,0.9128573410171372,0.5120002821848534,0.8134778607219552,0.7410037366783213,275791,262863,69105,723905,False
mlp,validation,0.29,0.7524931213879777,0.715772988269677,0.7372292218256576,0.9080188143907391,0.5235271621486148,0.8137593714754551,0.7334597916591573,282000,256654,72942,720068,False
mlp,validation,0.3,0.7543727246512634,0.7191905319790637,0.7409411202551742,0.9033845727040012,0.5349964912541261,0.8141389265966581,0.7260607780941739,288178,250476,76617,716393,False
mlp,validation,0.31,0.755978985690084,0.7223100923533489,0.7445147485351766,0.8985813545856924,0.5460388301210053,0.8143249442038898,0.7187338547861923,294126,244528,80426,712584,False
mlp,validation,0.32,0.7573043951026686,0.7251351894108163,0.7479593613933236,0.8935549362555327,0.5567154425661,0.8143002841325339,0.7114219502817527,299877,238777,84412,708598,False
mlp,validation,0.33,0.7585066503262085,0.7278169870831003,0.7513601822249617,0.8884906873809915,0.5671432867852091,0.8141917501756462,0.7041881435557318,305494,233160,88428,704582,False
mlp,validation,0.34,0.7594573405904192,0.7302435000906469,0.7546618250778497,0.8831906281131385,0.5772963720681551,0.8138831431426778,0.6969250501628038,310963,227691,92631,700379,False
mlp,validation,0.35,0.7603809970082543,0.7326565444194258,0.7580409452248721,0.8778060806295003,0.5875070082093514,0.8135393353629675,0.6895883646325199,316463,222191,96901,696109,False
mlp,validation,0.36,0.7610756166720735,0.7348016599145839,0.7612665106252332,0.8723572212204134,0.5972460986087544,0.8130346356647273,0.6824041199581876,321709,216945,101222,691788,False
mlp,validation,0.37,0.7617965192420911,0.7370075482022005,0.764646400598037,0.8667885650874516,0.6072265313169493,0.8125199843257872,0.6750509137440075,327085,211569,105638,687372,False
mlp,validation,0.38,0.7622906378786241,0.7389715153600851,0.7679176511735922,0.8610572376136493,0.616885793106521,0.8118247322112729,0.6677307488976199,332288,206366,110183,682827,False
mlp,validation,0.39,0.7625902630092877,0.7407415144187104,0.7711305083512244,0.855129191309063,0.6263538375283577,0.8109605226494587,0.6603707842218457,337388,201266,114884,678126,False
mlp,validation,0.4,0.762836571387377,0.7424593040687464,0.77438159090125,0.8491431381697583,0.6357754699677344,0.8100410205824682,0.6529950498023526,342463,196191,119631,673379,False
mlp,validation,0.41,0.7628170469427723,0.7439190590295188,0.7775398195498519,0.8428582237298394,0.6449798943291983,0.808882525997829,0.6455292025616072,347421,191233,124615,668395,False
mlp,validation,0.42,0.7627659830107294,0.7453541189926814,0.7807650841776205,0.8365127804189102,0.6541954575664527,0.8076781185431762,0.6380228045512982,352385,186269,129647,663363,False
mlp,validation,0.43,0.7625474594191928,0.7465842656281056,0.7838636891331139,0.8301585099809586,0.6630100212752528,0.8063471649350371,0.6306733530380035,357133,181521,134686,658324,False
mlp,validation,0.44,0.7624062826658977,0.7479293734348488,0.7871780194619348,0.8237222733635137,0.6721364735061839,0.80503563208829,0.6231489324634443,362049,176605,139790,653220,False
mlp,validation,0.45,0.7620037787309711,0.7490118931506338,0.7903816665385783,0.8170300500624204,0.6809937362388472,0.8034849639468314,0.615580957358613,366820,171834,145097,647913,False
mlp,validation,0.46,0.7614893847096564,0.7500046352426044,0.7936372440987681,0.8101322808035207,0.6898769896816881,0.8017999353510947,0.6078800658424347,371605,167049,150567,642443,False
mlp,validation,0.47,0.7609321870982471,0.7509563768976176,0.7969492526407195,0.8031840708187791,0.6987286829764562,0.8000545149426211,0.6001619027021832,376373,162281,156077,636933,False
mlp,validation,0.48,0.7601985185452186,0.7517691785683311,0.8003116761915148,0.7959004300071878,0.7076379271294746,0.7980999577023726,0.5922207103293323,381172,157482,161853,631157,False
mlp,validation,0.49,0.7594017710173137,0.7525087717977308,0.80369122341656,0.7885966129052597,0.7164209306902019,0.7960723710256211,0.5843185668456908,385903,152751,167645,625365,False
mlp,validation,0.5,0.7585907556260438,0.7532479968472137,0.8071898746052096,0.7812196567508607,0.7252763369435667,0.7939924614195651,0.5763435821648705,390673,147981,173495,619515,False
mlp,validation,0.51,0.7574050210864002,0.7535871491938948,0.8104263023630327,0.7735753647494987,0.733598933638291,0.7915721750418236,0.5684249179973326,395156,143498,179557,613453,False
mlp,validation,0.52,0.7560330533828353,0.7537511782641667,0.813639311575754,0.7656977843911174,0.7418045721372161,0.7889409040768041,0.5604146391281885,399576,139078,185804,607206,False
mlp,validation,0.53,0.7545011354215477,0.7537800157101556,0.8168898981520513,0.7575553902220653,0.750004641198246,0.7861046047552375,0.5522489156423843,403993,134661,192261,600749,True
